city, Quality of Life Index,Climate Index,Cost of Living Index,Health Care Index,Pollution Index,Property Price to Income Ratio,Purchasing Power Index,Safety Index,Traffic Commute Time Index,latitude,longitude
Alessandria,,89.67,,53.89,70.08,3.17,,70.15,15.0,44.83495335,8.745030418605868
Ancona,151.73,92.89,61.57,61.11,43.06,7.62,66.14,52.94,28.25,43.4801204,13.218790609151764
Anzio (Rome),,94.35,,81.48,60.34,8.82,,61.55,100.0,41.4471008,12.6285618
Aosta,,,,84.26,28.74,6.03,,76.62,32.0,45.7370885,7.3196649
Arezzo,143.67,90.84,60.68,56.94,54.02,6.02,69.3,57.34,35.33,43.51720195,11.763879181253118
Avellino,,97.81,,88.89,70.23,3.61,,50.74,7.0,40.9965446,15.1405690365004
Aversa,,92.5,,55.56,100.86,10.23,,53.43,10.0,40.973212,14.204928
Bari,145.91,95.02,60.57,50.14,49.38,9.64,65.22,49.93,16.5,41.1257843,16.8620293
Barletta,,,,69.44,40.46,5.97,,38.89,58.5,41.3214976,16.2868696
Belluno,,88.22,,41.67,37.7,2.29,,58.4,72.5,46.2805407,12.078913722504204
Bergamo,159.2,87.44,62.91,64.71,48.5,5.1,72.82,63.89,26.33,45.7566557,9.754219200862249
Biella,,84.6,,68.29,33.62,4.27,,66.6,17.0,45.5669538,8.086912008297636
Bologna,138.55,88.12,65.89,77.44,58.54,10.77,59.98,53.24,32.06,44.4938203,11.3426327
Bolzano-Bozen,169.69,80.15,67.49,73.31,30.73,11.43,73.63,65.64,19.9,46.65594545,11.23021287087526
Brescia,130.75,86.01,63.61,72.77,76.1,7.0,65.42,51.62,29.83,45.77958045,10.4258729694612
Brindisi,140.6,97.37,57.36,66.67,70.79,3.72,79.8,45.41,33.0,40.63591975,17.688443357842537
Cagliari,160.67,95.89,62.23,64.21,32.55,8.86,57.64,63.9,30.4,39.2171994,9.113311
Caserta,,,,37.96,83.01,4.92,,40.74,22.0,41.20351925,14.116862382970815
Catania,115.32,93.96,51.73,60.99,75.78,6.88,55.7,35.61,35.8,37.5023612,15.0873718
Chieti,,90.36,,86.11,35.29,,,73.53,13.0,42.10271755,14.415935255784948
Como,143.87,84.6,73.49,62.59,46.82,11.5,53.84,69.92,31.6,45.939475900000005,9.149410145408948
Crema,,88.34,,59.72,77.87,,,42.42,28.0,45.362828,9.6874573
Cuneo,,81.7,,62.04,14.73,7.48,,66.86,10.0,44.45807035,7.558136691151623
Domodossola,,,,44.44,20.69,,,75.74,35.0,46.1152451,8.2920459
Ferrara,,87.37,,69.07,57.24,3.67,,69.3,50.0,44.76676425,11.827938995640167
Florence,140.29,92.45,68.11,67.85,49.33,15.39,53.66,60.64,28.72,43.7698712,11.2555757
Genoa,143.76,95.0,65.0,69.81,50.38,8.99,57.62,55.04,34.64,44.40726,8.9338624
Gorizia,,85.75,,50.0,18.05,,,75.8,14.0,45.9441278,13.6252288
L'Aquila,,90.32,,66.67,33.62,4.32,,33.87,20.0,42.1368853,13.610341022538911
La Spezia,,94.14,,86.81,60.23,5.49,,73.89,27.5,44.23836595,9.691232634547536
Lamezia Terme,,95.98,,59.72,15.4,4.88,,61.76,6.0,38.9645069,16.3021451
Lecce,171.97,93.52,54.84,75.56,43.49,6.02,64.46,69.89,19.33,40.1522173,18.2260628338229
Lecco,,84.6,,84.17,42.15,7.3,,52.94,23.0,45.9005485,9.41202482143963
Livorno,,94.09,,53.47,62.15,5.06,,56.72,20.0,42.7902166,10.340278678735023
Lucca,,93.09,,87.04,34.94,10.0,,75.02,34.67,44.017763900000006,10.454430026192636
Mantova,,86.66,,67.59,65.23,3.88,,57.47,17.33,45.1692628,10.670836515673878
